order_id,data,produto,categoria,quantidade,preco_unitario,custo_unitario,receita_bruta,desconto_valor,total_venda,lucro
V000737,2024-01-01,Óleo de Milho 900ml,Alimentos Básicos,5,115.69,84.17,578.45,57.85,520.6,99.75
V000533,2024-01-01,Refrigerante Guaraná 2L,Bebidas,2,119.5,93.43,239.0,23.9,215.1,28.24
V000577,2024-01-02,Ração para Cães 10kg,Pets,4,102.33,76.28,409.32,0.0,409.32,104.2
V000626,2024-01-02,Café em Cápsulas,Bebidas,4,54.27,37.12,217.08,0.0,217.08,68.6
V000620,2024-01-02,Desinfetante 1L,Limpeza,4,102.54,77.33,410.16,41.02,369.14,59.82
V000636,2024-01-04,Refrigerante Guaraná 2L,Bebidas,1,37.46,27.44,37.46,3.75,33.71,6.27
V000062,2024-01-04,Salsicha Hot Dog,Alimentos Básicos,2,77.54,50.59,155.08,15.51,139.57,38.39
V000694,2024-01-05,Suco Integral Laranja 1L,Bebidas,3,27.5,20.75,82.5,8.25,74.25,12.0
V000385,2024-01-10,Queijo Prato (kg),Laticínios,5,73.53,57.77,367.65,18.38,349.27,60.42
V000185,2024-01-10,"Água com Gás 1,5L",Bebidas,3,82.28,51.97,246.84,12.34,234.5,78.59
V000054,2024-01-10,"Água Mineral 1,5L",Bebidas,5,119.82,95.76,599.1,0.0,599.1,120.3
V000671,2024-01-10,Cerveja Lata 350ml,Bebidas,2,78.74,56.71,157.48,0.0,157.48,44.06
V000023,2024-01-12,Carvão Vegetal 5kg,Outros,6,16.4,12.74,98.4,4.92,93.48,17.04
V000469,2024-01-13,Queijo Mussarela (kg),Laticínios,4,48.37,29.84,193.48,19.35,174.13,54.77
V000456,2024-01-17,Pão de Forma Tradicional,Padaria,5,19.87,15.18,99.35,4.97,94.38,18.48
V000217,2024-01-17,Sal Grosso 1kg,Alimentos Básicos,3,9.13,6.83,27.39,2.74,24.65,4.16
V000552,2024-01-18,Sabonete Barra,Higiene,1,4.61,2.96,4.61,0.0,4.61,1.65
V000788,2024-01-18,Picanha (kg),Carnes,6,16.84,10.12,101.04,10.1,90.94,30.22
V000365,2024-01-20,Suco Integral Uva 1L,Bebidas,3,52.0,35.49,156.0,0.0,156.0,49.53
V000291,2024-01-20,Chocolate Barra 90g,Outros,2,100.69,71.47,201.38,20.14,181.24,38.3
V000703,2024-01-20,Pão Francês (kg),Padaria,2,88.08,55.16,176.16,17.62,158.54,48.22
